Popularidad;external_id;price;currency;price_per_sqm;expenses;location;neighborhood;province;total_area;covered_area;rooms;bedrooms;bathrooms;parking;publication_url;scraped_at
2839;58308662;145000;USD;161;;Formosa 300;Benavidez;Tigre;900;;3;2;2;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-divina-casa-en-venta-barrio-la-bota-benavidez.-apto-58308662.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=96&n_pos=16;2026-02-10T14:36:19.060178
404;58271384;560000;USD;10181;900000;Aimé Painé al 1100;Puerto Madero;Capital Federal;55;;1;1;1;;https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-residencia-en-alquiler-venta-en-alvear-icon-58271384.html?n_src=Listado&n_pills=SUM&n_pg=14&n_pos=14;2026-02-10T14:57:50.975595
1427;58286315;168000;USD;219;;Italia 300;Don Torcuato;Tigre;766;;4;3;1;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-en-don-torcuato-58286315.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=48&n_pos=26;2026-02-10T14:18:07.798961
1164;58261178;220000;USD;220;;Ricardo GUTIERREZ al 2800;Ricardo Rojas;Tigre;1000;;4;3;2;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-ricardo-rojas-casa-venta-usd-220.000-58261178.html?n_src=Listado&n_pills=Quincho&n_pg=39&n_pos=28;2026-02-10T14:14:39.525178
2350;58306795;249000;USD;249;550000;San Marco 0;San Marco;Villanueva;1000;;5;3;2;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-barrio-san-marco-villanueva-tigre-58306795.html?n_src=Listado&n_pills=Parrilla&n_pg=80&n_pos=4;2026-02-10T14:30:03.385598
2411;58297182;205000;USD;289;35400;Barrio Bello Horizonte;General Pacheco;Tigre;707;;3;2;1;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-chalet-2-dorm.-venta-general-pacheco-bello-horizonte-58297182.html?n_src=Listado&n_pills=Quincho&n_pg=82&n_pos=5;2026-02-10T14:30:52.800610
1655;58281181;100000;USD;294;;Vespucio 1200;El Talar;Tigre;340;;4;3;2;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-gran-casa-con-pileta-y-quincho-en-talar-58281181.html?n_src=Listado&n_pills=Pileta&n_pg=56&n_pos=16;2026-02-10T14:20:58.462860
553;58281255;90000;USD;300;;Reconquista 2021;El Talar;Tigre;300;;3;2;1;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-3-ambientes-talar-general-pacheco-58281255.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=19&n_pos=14;2026-02-10T14:07:17.653673
2355;58294905;149000;USD;307;;Casa en Venta en Rincón de Milberg 3 Dormitorios, Martín Coronado 1900;Rincón de Milberg;Tigre;485;;4;3;1;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-chalet-en-venta-en-rincon-de-milberg-tigre-g.-58294905.html?n_src=Listado&n_pills=Quincho&n_pg=80&n_pos=9;2026-02-10T14:30:03.569150
2868;58308115;149500;USD;307;;General Zapiola 400;Troncos del Talar;Tigre;486;;5;4;2;4;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-venta-casa-4-ambientes-jardin-troncos-de-talar-58308115.html?n_src=Listado&n_pills=Quincho&n_pg=97&n_pos=15;2026-02-10T14:36:39.547022
217;58308423;2600000;USD;9252;1200000;Libertador al 7000;Núñez;Capital Federal;281;;5;4;4;2;https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-esquinero-de-6-ambientes-chateau-58308423.html?n_src=Listado&n_pills=Encargado&n_pg=8&n_pos=7;2026-02-10T14:55:36.002806
338;58267375;285000;USD;349;;Casa a la Venta Barrio Santa Teresa Villanueva;Santa Teresa;Villanueva;815;;5;3;2;1;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-a-la-venta-barrio-santa-teresa-villanueva-58267375.html?n_src=Listado&n_pills=Dormitorio+en+suite&n_pg=12&n_pos=9;2026-02-10T14:04:31.026426
488;58264839;79000;USD;352;;Maestra Celina Voena 1600;El Talar;Tigre;224;;4;3;1;;https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-4-ambientes-58264839.html?n_src=Listado&n_pills=Apto+cr%C3%A9dito&n_pg=17&n_pos=9;2026-02-10T14:06:29.470378
